12.510100,	53.289900,	112.891000,	158.544000,	42.298200,	174.507000,	181.290000,	83.770200,	94.950700,	92.753300,	23.436300,	22.560800,	22.560800,	121.215000,	141.893000,	36.153300,	66.962500,	125.498000,	188.819000,	151.782000,	64.895000,	57.907500,	57.907500,	82.559100,	50.016700,	57.250000,	159.781000,	57.133400,	221.299000,	146.652000,	180.377000,	203.912000,	395.294000,	187.533000,	253.973000,	62.649400,	99.351300,	24.401700,	2.066890,	53.937700,	22.659100,	126.845000,	43.459200,	66.196200,	186.503000,	90.860500,	-124.352000,	247.322000,	87.465800,	194.421000,	223.171000,	223.171000,	112.836000,	52.618700,	151.119000,	151.119000,	188.737000,	140.510000,	188.155000,	15.944900,	96.416100,	25.165600,	26.597500,	216.546000,	113.080000,	158.281000,	150.684000,	102.358000,	65.276600,	53.456800,	52.511000,	86.124100,	119.941000,	120.194000,	116.572000,	152.907000,	206.061000,	73.642500,	122.639000,	262.969000,	248.623000,	257.539000,	257.539000,	112.177000,	60.966300,	74.866100,	13.157200,	65.817400,	72.388400,	72.388400,	140.751000,	-18.983300,	120.668000,	27.276600,	-161.496000,	242.304000,	97.874000,	212.821000,	135.626000,	32.488800,	151.368000,	101.306000,	156.910000,	230.856000,	143.946000,	143.946000,	68.514600,	20.293100,	67.330400,	88.868500,	87.533000
-6.039150,	21.578300,	44.259700,	89.834900,	3.791300,	109.011000,	107.819000,	-10.167600,	40.506700,	69.584300,	-18.796000,	-11.677000,	-11.677000,	60.741600,	45.203400,	18.050500,	24.191600,	23.033900,	128.499000,	103.747000,	75.121200,	71.892200,	71.892200,	5.775340,	27.855100,	-5.636890,	84.197100,	-18.255500,	164.174000,	6.415430,	88.183500,	122.540000,	216.595000,	49.202200,	85.630400,	-14.035500,	18.182000,	-0.691621,	-9.332050,	16.465400,	-5.814630,	56.254700,	35.045900,	15.928400,	77.108400,	46.952700,	-134.221000,	73.784000,	23.979300,	141.055000,	122.851000,	122.851000,	12.519100,	-26.957300,	85.852800,	85.852800,	25.992400,	94.227200,	16.988500,	-15.628100,	-2.497280,	14.274800,	-25.591600,	119.522000,	60.078800,	64.850500,	70.616700,	100.522000,	35.958600,	31.702800,	26.935800,	23.400100,	84.239600,	67.451500,	22.498200,	5.514190,	147.962000,	-21.115200,	66.798800,	144.578000,	103.517000,	81.220100,	81.220100,	-18.225700,	15.358700,	25.372700,	-7.813150,	17.783200,	52.115900,	52.115900,	70.747300,	-29.436700,	50.424900,	8.537160,	-140.659000,	79.095900,	44.387400,	88.188200,	27.351700,	-2.939480,	66.045800,	29.155300,	77.665400,	42.227200,	18.800600,	18.800600,	2.622700,	3.006040,	24.307800,	9.096770,	50.524000
-19.399300,	-12.437400,	-34.313600,	0.293057,	-30.507200,	12.312500,	3.025650,	-110.771000,	-21.821400,	28.357100,	-63.144000,	-51.773600,	-51.773600,	-16.338200,	-65.039600,	-26.177500,	-20.020300,	-39.820900,	58.920900,	55.944500,	75.925900,	84.120700,	84.120700,	-78.328000,	8.941530,	-31.603200,	29.882600,	-89.854400,	81.452400,	-100.144000,	-36.552400,	28.773700,	2.242690,	-87.635600,	-52.621700,	-89.343100,	-58.598100,	-29.866200,	5.181080,	-25.071900,	-35.512800,	-9.942630,	21.324800,	-35.207200,	-51.088900,	13.789600,	-118.011000,	-99.721600,	-33.668100,	113.351000,	34.908700,	34.908700,	-99.999200,	-97.606400,	-11.399100,	-11.399100,	-169.902000,	18.200300,	-147.130000,	-39.058700,	-95.757300,	-15.322600,	-79.122600,	-6.075110,	-8.660210,	-30.865100,	-3.280280,	77.953600,	-9.917600,	21.526800,	8.770640,	-43.152800,	11.238800,	-10.537700,	-56.629800,	-126.322000,	65.210800,	-91.450000,	-13.467600,	-3.988590,	-52.058600,	-63.485300,	-63.485300,	-150.698000,	-31.018800,	-39.485900,	-5.518810,	-32.645600,	4.972550,	4.972550,	-10.077900,	-29.053000,	-22.646200,	16.222900,	-97.536400,	-84.486200,	34.988300,	12.372900,	-56.140700,	-15.710000,	-8.312710,	-37.716600,	-5.461630,	-142.268000,	-90.171600,	-90.171600,	-49.981000,	-18.516300,	-18.264500,	-63.205600,	0.421203
-55.187400,	-38.499100,	-102.345000,	-100.043000,	-55.970600,	-99.786500,	-116.431000,	-209.291000,	-95.668700,	-50.209800,	-104.505000,	-101.763000,	-101.763000,	-88.134700,	-164.584000,	-90.656400,	-58.614500,	-64.650400,	-49.415200,	27.097300,	69.331600,	92.483600,	92.483600,	-166.954000,	-44.827000,	-72.686800,	-27.441800,	-153.031000,	-18.482700,	-160.931000,	-166.840000,	-67.942600,	-221.790000,	-205.056000,	-188.138000,	-142.808000,	-121.946000,	-67.335700,	-3.282840,	-65.160200,	-68.694900,	-87.057800,	-26.309000,	-80.338500,	-154.289000,	6.103370,	-62.439400,	-213.537000,	-73.007900,	28.492600,	-52.746500,	-52.746500,	-195.843000,	-144.832000,	-121.609000,	-121.609000,	-340.955000,	-102.367000,	-273.057000,	-57.703900,	-172.332000,	-54.336100,	-130.794000,	-145.000000,	-82.390000,	-110.316000,	-83.376800,	40.953000,	-107.684000,	21.756900,	-13.929400,	-101.604000,	-104.781000,	-117.340000,	-126.994000,	-220.775000,	-24.425400,	-129.219000,	-99.814200,	-159.783000,	-188.317000,	-199.473000,	-199.473000,	-251.541000,	-70.063900,	-112.074000,	-20.829700,	-70.078900,	-72.292800,	-72.292800,	-100.651000,	-44.463500,	-69.841600,	87.571000,	-21.930700,	-186.084000,	103.379000,	-89.945400,	-117.387000,	-45.647700,	-96.869700,	-90.053000,	-83.168300,	-275.829000,	-142.373000,	-142.373000,	-81.326800,	-45.547000,	-50.696700,	-113.199000,	-64.670400
-125.250000,	-47.930000,	-141.719000,	-177.042000,	-80.159700,	-188.698000,	-212.448000,	-280.519000,	-174.113000,	-150.406000,	-129.633000,	-141.601000,	-141.601000,	-123.082000,	-218.781000,	-137.006000,	-83.676300,	-77.227400,	-193.120000,	1.552180,	54.080700,	67.958000,	67.958000,	-214.434000,	-143.720000,	-176.585000,	-137.045000,	-201.457000,	-112.528000,	-193.082000,	-254.099000,	-157.315000,	-393.498000,	-281.645000,	-339.496000,	-160.958000,	-161.160000,	-105.263000,	-80.636400,	-93.786200,	-102.041000,	-189.099000,	-107.675000,	-118.679000,	-214.638000,	3.497000,	7.247050,	-244.359000,	-92.111900,	-182.484000,	-169.753000,	-169.753000,	-247.204000,	-168.929000,	-197.528000,	-197.528000,	-424.444000,	-234.813000,	-344.814000,	-73.953000,	-218.748000,	-76.065800,	-165.550000,	-253.297000,	-137.424000,	-155.448000,	-165.064000,	7.104020,	-229.496000,	-4.420890,	-59.647000,	-143.458000,	-206.615000,	-212.980000,	-203.183000,	-273.683000,	-96.761700,	-147.018000,	-159.304000,	-276.820000,	-278.143000,	-351.262000,	-351.262000,	-294.373000,	-94.060500,	-163.282000,	-98.024700,	-87.473500,	-147.184000,	-147.184000,	-185.891000,	-93.585700,	-88.103200,	179.807000,	58.049100,	-199.895000,	195.366000,	-297.041000,	-168.871000,	-124.944000,	-222.070000,	-120.808000,	-142.885000,	-322.136000,	-142.723000,	-142.723000,	-95.249900,	-69.691600,	-70.994600,	-137.317000,	-130.175000
-178.194000,	-40.762900,	-149.086000,	-200.203000,	-94.823700,	-217.852000,	-252.919000,	-290.869000,	-228.847000,	-219.054000,	-122.139000,	-141.478000,	-141.478000,	-117.227000,	-207.349000,	-132.629000,	-87.353800,	-90.117900,	-311.605000,	-56.174000,	20.895200,	-3.845730,	-3.845730,	-181.211000,	-220.117000,	-281.346000,	-272.618000,	-221.661000,	-172.435000,	-203.830000,	-263.919000,	-223.996000,	-450.854000,	-287.405000,	-452.677000,	-136.386000,	-163.158000,	-119.389000,	-174.829000,	-100.937000,	-117.300000,	-277.585000,	-172.390000,	-140.095000,	-243.384000,	-20.727800,	68.526400,	-224.813000,	-95.070800,	-442.284000,	-284.042000,	-284.042000,	-249.696000,	-165.032000,	-209.390000,	-209.390000,	-406.725000,	-316.276000,	-349.296000,	-82.587700,	-219.272000,	-66.733000,	-162.780000,	-281.024000,	-157.206000,	-165.263000,	-216.126000,	-20.374500,	-303.047000,	-76.510300,	-119.495000,	-157.928000,	-228.146000,	-238.296000,	-255.766000,	-284.954000,	-141.659000,	-153.355000,	-170.722000,	-318.227000,	-300.878000,	-468.528000,	-468.528000,	-268.491000,	-96.734500,	-160.216000,	-198.480000,	-83.931600,	-172.561000,	-172.561000,	-225.428000,	-138.300000,	-94.881900,	198.195000,	121.915000,	-163.573000,	204.795000,	-527.106000,	-189.438000,	-202.180000,	-330.830000,	-128.560000,	-170.440000,	-285.585000,	-128.762000,	-128.762000,	-95.967400,	-73.548900,	-77.604600,	-135.878000,	-162.241000
-157.294000,	-26.506100,	-131.633000,	-171.745000,	-86.000900,	-187.789000,	-230.911000,	-233.747000,	-231.061000,	-224.103000,	-79.619800,	-104.099000,	-104.099000,	-90.593000,	-152.170000,	-82.482500,	-69.004800,	-100.973000,	-343.622000,	-143.644000,	-36.082100,	-92.815100,	-92.815100,	-97.451700,	-210.769000,	-280.244000,	-339.360000,	-199.121000,	-194.566000,	-183.827000,	-208.673000,	-253.243000,	-386.450000,	-217.096000,	-469.486000,	-72.602900,	-131.475000,	-97.862500,	-194.576000,	-87.932100,	-102.084000,	-290.496000,	-172.543000,	-131.520000,	-249.245000,	-67.219600,	119.027000,	-200.210000,	-92.897100,	-589.061000,	-309.588000,	-309.588000,	-215.347000,	-129.652000,	-172.292000,	-172.292000,	-312.238000,	-316.697000,	-274.452000,	-81.858600,	-180.945000,	-37.403500,	-119.118000,	-227.366000,	-141.011000,	-145.662000,	-216.068000,	-57.081400,	-303.001000,	-167.412000,	-157.256000,	-133.841000,	-176.901000,	-179.223000,	-243.010000,	-246.667000,	-167.353000,	-142.781000,	-141.365000,	-282.676000,	-250.942000,	-487.165000,	-487.165000,	-185.419000,	-80.008200,	-107.271000,	-235.999000,	-61.754900,	-139.821000,	-139.821000,	-199.945000,	-128.754000,	-109.534000,	100.948000,	174.932000,	-138.481000,	70.836800,	-615.474000,	-150.101000,	-197.935000,	-338.245000,	-119.041000,	-165.211000,	-200.099000,	-122.576000,	-122.576000,	-86.784800,	-51.588100,	-67.815700,	-105.578000,	-147.434000
-86.163300,	-15.788500,	-101.017000,	-121.443000,	-60.829000,	-141.836000,	-172.644000,	-135.709000,	-189.343000,	-190.403000,	-25.979400,	-59.221200,	-59.221200,	-58.077000,	-97.254600,	-19.394500,	-43.370400,	-98.115400,	-285.893000,	-213.450000,	-103.372000,	-159.494000,	-159.494000,	-36.010100,	-147.613000,	-178.712000,	-299.605000,	-133.320000,	-207.477000,	-136.114000,	-137.670000,	-247.593000,	-262.467000,	-127.372000,	-416.322000,	3.260030,	-91.886200,	-60.653100,	-135.945000,	-66.960200,	-70.452200,	-232.065000,	-125.685000,	-104.184000,	-240.386000,	-117.584000,	151.445000,	-187.505000,	-97.536800,	-563.632000,	-225.307000,	-225.307000,	-156.754000,	-82.130500,	-124.496000,	-124.496000,	-173.329000,	-269.142000,	-149.301000,	-70.116800,	-134.357000,	-9.045890,	-60.806900,	-145.002000,	-97.611200,	-101.239000,	-182.783000,	-112.218000,	-273.168000,	-237.430000,	-151.741000,	-81.194300,	-121.750000,	-93.452400,	-188.773000,	-161.520000,	-188.171000,	-112.033000,	-97.978100,	-203.936000,	-170.241000,	-428.810000,	-428.810000,	-80.208200,	-55.205800,	-53.630600,	-190.157000,	-29.586700,	-96.222800,	-96.222800,	-152.906000,	-76.222300,	-135.450000,	-60.491000,	216.439000,	-151.701000,	-160.249000,	-538.233000,	-79.517900,	-122.144000,	-254.128000,	-101.217000,	-146.881000,	-107.027000,	-114.863000,	-114.863000,	-72.389800,	-22.208200,	-48.982900,	-57.935100,	-117.199000
-41.534500,	-12.100300,	-66.578400,	-80.770000,	-36.704500,	-111.336000,	-109.540000,	-20.921500,	-125.590000,	-146.870000,	6.134620,	-25.429800,	-25.429800,	-27.097100,	-66.505700,	29.390900,	-24.500400,	-81.524600,	-189.454000,	-221.123000,	-148.969000,	-181.911000,	-181.911000,	-37.069800,	-100.656000,	-88.454200,	-219.250000,	-45.997600,	-223.590000,	-81.745900,	-78.408500,	-214.450000,	-151.627000,	-89.506300,	-359.592000,	53.689100,	-64.058500,	-30.221300,	-78.166200,	-43.278100,	-41.169000,	-163.308000,	-83.294900,	-73.530300,	-213.937000,	-146.643000,	142.791000,	-164.559000,	-101.155000,	-454.784000,	-111.434000,	-111.434000,	-77.622400,	-32.787400,	-79.299600,	-79.299600,	-17.805600,	-204.135000,	-29.339100,	-44.803100,	-92.286700,	12.313100,	-12.277600,	-77.629800,	-40.814200,	-50.337700,	-149.602000,	-162.518000,	-238.886000,	-256.274000,	-111.267000,	-26.608600,	-93.213600,	-46.593600,	-152.947000,	-50.757700,	-195.440000,	-72.031000,	-55.792700,	-122.279000,	-118.302000,	-360.183000,	-360.183000,	15.346000,	-32.543400,	-32.612300,	-124.921000,	2.924830,	-82.645000,	-82.645000,	-135.492000,	-37.804800,	-147.533000,	-192.486000,	206.462000,	-179.012000,	-357.897000,	-419.795000,	-42.657300,	-57.680400,	-165.878000,	-77.266000,	-128.410000,	-23.475400,	-86.615700,	-86.615700,	-54.522800,	-4.373370,	-42.201800,	-16.556800,	-102.061000
-45.428500,	-12.836700,	-29.625200,	-63.670900,	-17.252300,	-86.436800,	-52.563400,	98.374000,	-50.145100,	-93.743900,	4.382500,	-2.255070,	-2.255070,	-8.283390,	-55.008900,	49.871800,	-15.953100,	-71.623800,	-103.614000,	-175.040000,	-154.039000,	-162.884000,	-162.884000,	-89.163000,	-84.562500,	-65.442900,	-167.173000,	31.675100,	-215.749000,	-35.309100,	-17.155700,	-154.956000,	-80.479500,	-107.840000,	-302.480000,	64.191600,	-40.874800,	-7.732670,	-71.610500,	-16.548900,	-15.455600,	-118.965000,	-62.419500,	-35.598100,	-145.342000,	-134.522000,	89.524300,	-98.430800,	-80.506900,	-345.305000,	-42.586800,	-42.586800,	18.494700,	32.584800,	-27.513600,	-27.513600,	125.928000,	-113.048000,	49.497300,	-10.883100,	-39.275300,	26.225700,	23.742900,	-29.318100,	8.876230,	-19.820300,	-128.669000,	-170.523000,	-175.991000,	-204.115000,	-52.469400,	15.292600,	-63.609300,	-42.981100,	-139.856000,	56.692700,	-168.084000,	-34.171700,	-11.526200,	-58.269900,	-103.262000,	-288.663000,	-288.663000,	93.121800,	-12.718500,	-25.536100,	-94.464500,	30.064200,	-81.173900,	-81.173900,	-133.723000,	-37.315600,	-115.546000,	-236.950000,	118.535000,	-167.483000,	-407.873000,	-324.689000,	-58.267600,	-42.852800,	-116.965000,	-45.864100,	-101.524000,	58.937800,	-31.873400,	-31.873400,	-27.368800,	1.205100,	-58.970900,	8.704400,	-89.073200
